"","year","cites"
"1",2010,243
"2",2011,760
"3",2012,1292
"4",2013,1748
"5",2014,2066
"6",2015,2631
"7",2016,2887
"8",2017,3132
"9",2018,3133
"10",2019,3604
"11",2020,3925
"12",2021,4172
"13",2022,3993
"14",2023,3672
"15",2024,3405
